월드컵공원,테마공원,서울 마포구 하늘공원로 86,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,주차하기 편해요,관리가 잘 되어있어요
AK PLAZA 홍대,백화점,서울 마포구 양화로 188,종류가 다양해요,가성비가 좋아요,특색 있는 제품이 많아요,친절해요,품질이 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
꽁뜨베이글,"카페,디저트",서울 마포구 성미산로29길 35-6 1층,인테리어가 멋져요,빵이 맛있어요,커피가 맛있어요,사진이 잘 나와요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
난지캠핑장,"캠핑,야영장",서울 마포구 한강난지로 28,깨끗해요,바비큐 해먹기 좋아요 ,화장실이 잘 되어있어요,개수대가 잘 되어있어요,공용시설 관리가 잘돼요
헬로방방 마포아현점,"키즈카페,실내놀이터",서울 마포구 마포대로 195 마포 래미안 푸르지오 207동,놀거리가 많아요,가격이 합리적이에요,매장이 청결해요,친절해요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
노띵크,"카페,디저트",서울 마포구 연희로 35 2층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
카페드댕,"카페,디저트","서울 마포구 동교로 269 1층, 2층",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
해머플레이스,"카페,디저트",서울 마포구 독막로8길 15-9 1층,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
어반플랜트 합정,브런치카페,서울 마포구 독막로4길 3,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,음료가 맛있어요
롱베케이션,"카페,디저트",서울 마포구 동교로38길 33-10 2층,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,친절해요
라헬의부엌 연남점,"카페,디저트",서울 마포구 동교로38길 5 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
오케이어 맨션,독립서점,서울 마포구 와우산로11길 9-7 상수라이크 2층,책 읽기 쾌적해요,카페 같은 분위기에요,책 종류가 다양해요,시설이 깔끔해요,독특한 책이 많아요
-,-,-,-,-,-,-,-
쁘띠몽드 마포중앙도서관점,"키즈카페,실내놀이터",서울 마포구 성산로 128 마포중앙도서관 1층 쁘띠몽드,놀거리가 많아요,매장이 청결해요,친절해요,음식이 맛있어요,부모도 쉬기 좋아요
포트레이트커피바,"카페,디저트",서울 마포구 포은로8길 32 1층,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,친절해요
-,-,-,-,-,-,-,-
커피 벌스데이,"카페,디저트",서울 마포구 와우산로29길 26-33 1층 커피 벌스데이,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
클럽온에어,공연장,서울 마포구 잔다리로 44 1층 클럽온에어,음악이 좋아요,친절해요,인테리어가 멋져요,매장이 청결해요,오래 머무르기 좋아요
-,-,-,-,-,-,-,-
티프 합정,"카페,디저트",서울 마포구 양화로11길 64 1층 티프 합정,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
베리블리스,"카페,디저트",서울 마포구 와우산로27길 20 1층,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요
카페 드 래빗,"카페,디저트",서울 마포구 동교로29길 10 1층-4층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,뷰가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
밀로밀,베이커리,서울 마포구 희우정로10길 9 1층,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
책익다,독립서점,서울 마포구 와우산로29마길 10-3 2층,책 읽기 쾌적해요,아늑해요,인테리어가 멋져요,책 종류가 다양해요,카페 같은 분위기에요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
로우북스,서점,서울 마포구 포은로 56 1층,책 종류가 다양해요,시설이 깔끔해요,원하는 책을 찾기 쉬워요,독특한 책이 많아요,카페 같은 분위기에요
-,-,-,-,-,-,-,-
고독스테이,서점,서울 마포구 서강로13길 22 3층,컨셉이 독특해요,인테리어가 멋져요,아늑해요,카페 같은 분위기에요,시설이 깔끔해요
-,-,-,-,-,-,-,-
이뮤 베이크샵,"카페,디저트",서울 마포구 양화로6길 57-13 2층 202호,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
더블유오앤,"카페,디저트","서울 마포구 잔다리로6길 20-9 1층, B1층",디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
수더분,베이커리,서울 마포구 백범로 152,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,건강한 맛이에요
얼스어스,"카페,디저트",서울 마포구 성미산로 150,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요
빈브라더스 합정,카페,서울 마포구 토정로 35-1,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
점프업,"키즈카페,실내놀이터",서울 마포구 성산로 128 마포중앙도서관 지하1층,가격이 합리적이에요,부모도 쉬기 좋아요,친절해요,놀거리가 많아요,매장이 청결해요
카페클로이인패리스,"카페,디저트",서울 마포구 성미산로 190-3 1.5층,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
서점 리스본,서점,"서울 마포구 성미산로23길 60 1~3층, 경의선 숲길에 있는 동네서점입니다., 경의선 숲길에 있는 동네서점입니다.",책 종류가 다양해요,독특한 책이 많아요,카페 같은 분위기에요,책 읽기 쾌적해요,시설이 깔끔해요
테라커피 합정점,"카페,디저트",서울 마포구 독막로3길 52 1층,커피가 맛있어요,디저트가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요
-,-,-,-,-,-,-,-
터틀힙,"카페,디저트",서울 마포구 연남로1길 44 1층 터틀힙,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요
올더어글리쿠키&트레몽,"카페,디저트","서울 마포구 토정로 45 1, 2층",디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요,친절해요
어글리베이커리,베이커리,서울 마포구 월드컵로13길 73 1층 어글리 베이커리,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
-,-,-,-,-,-,-,-
블러,"카페,디저트",서울 마포구 토정로 28-10 4층,디저트가 맛있어요,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
조앤도슨,"카페,디저트","서울 마포구 동교로41길 31 지층 좌측, 조앤도슨",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요
책방밀물,서점,서울 마포구 성미산로15길 37 1층,책 읽기 쾌적해요,책 종류가 다양해요,시설이 깔끔해요,독특한 책이 많아요,카페 같은 분위기에요
-,-,-,-,-,-,-,-
gaga77page,서점,서울 마포구 망원로 74-1 지하 1층,책 종류가 다양해요,독특한 책이 많아요,책 읽기 쾌적해요,시설이 깔끔해요,카페 같은 분위기에요
진부책방스튜디오,서점,서울 마포구 잔다리로 112 2층,카페 같은 분위기에요,시설이 깔끔해요,책 읽기 쾌적해요,책 종류가 다양해요,독특한 책이 많아요
잼잼,"카페,디저트",서울 마포구 성미산로29길 24 지하1층,인테리어가 멋져요,특별한 메뉴가 있어요,음식이 맛있어요,친절해요,디저트가 맛있어요
비포블루밍,"카페,디저트",서울 마포구 양화로23길 28 3층,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
-,-,-,-,-,-,-,-
졸리파이마켓,베이커리,서울 마포구 망원로10길 16 1층,빵이 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요
