초안산캠핑장,"캠핑,야영장",서울 노원구 마들로5가길 66-107,화장실이 잘 되어있어요,주차하기 편해요,조용히 쉬기 좋아요,개수대가 잘 되어있어요,깨끗해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
노원 공릉 파티룸 스터디룸 룸178,장소대여,서울 노원구 동일로178길 8 178호,가성비가 좋아요,인테리어가 멋져요,시설이 깔끔해요,친절해요,화장실이 깨끗해요
피카푸 피크닉앤글램핑 서울YMCA 도봉산점,"캠핑,야영장",경기 의정부시 평화로49번길 63 서울YMCA 다락원캠프장,깨끗해요,조용히 쉬기 좋아요,뷰가 좋아요,주차하기 편해요,친절해요
무수아취,"캠핑,야영장",서울 도봉구 도봉로169길 249,깨끗해요,바비큐 해먹기 좋아요 ,화장실이 잘 되어있어요,사진이 잘 나와요,뷰가 좋아요
중랑캠핑숲,"캠핑,야영장",서울 중랑구 망우로87길 110,바비큐 해먹기 좋아요 ,주차하기 편해요,깨끗해요,조용히 쉬기 좋아요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
파티룸 노이즈플로어 노원점,장소대여,서울 노원구 노해로81길 22-22 5층,시설이 깔끔해요,인테리어가 멋져요,가성비가 좋아요,매장이 넓어요,단체모임 하기 좋아요
Hotel Bay204,2성급,서울 도봉구 도봉로 710,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,인테리어가 멋져요
인디언소울II,"캠핑,야영장",서울 도봉구 도봉동 275-2,바비큐 해먹기 좋아요 ,뷰가 좋아요,조용히 쉬기 좋아요,깨끗해요,사이트 간격이 넓어요
노원파티룸프리무드,장소대여,서울 노원구 공릉로58길 97 지층,인테리어가 멋져요,시설이 깔끔해요,친절해요,가성비가 좋아요,매장이 넓어요
아늑한가 서울한옥스테이 풀빌라스파펜션,전통숙소,경기 의정부시 평화로15번길 11 아늑한가,침구가 좋아요,깨끗해요,인테리어가 멋져요,조용히 쉬기 좋아요,친절해요
퍼스트호텔,3급,경기 구리시 갈매중앙로 89-7,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
호텔99프레스티지,모텔,서울 도봉구 마들로11길 29 호텔99프레스티지,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
르블랑헤어,미용실,서울 노원구 동일로174길 36 1층 (드림파크),원하는 스타일로 잘해줘요,시술이 꼼꼼해요,친절해요,손상이 적어요,좋은 제품을 사용해요
호텔드씨엘,2성급,서울 중랑구 동일로 866,조용히 쉬기 좋아요,침구가 좋아요,인테리어가 멋져요,깨끗해요,친절해요
인디프레젠트호텔,3급,경기 구리시 갈매동 320-48,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,인테리어가 멋져요
애니텔,모텔,서울 도봉구 마들로11가길 13-7,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요,친절해요
론스타호텔,모텔,서울 도봉구 마들로11길 37,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
도봉 더데이 호텔,3급,서울 도봉구 도봉로 903 더데이호텔,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
갤러리,모텔,서울 노원구 화랑로 343 갤러리호텔,친절해요,깨끗해요,즐길 거리가 많아요,조용히 쉬기 좋아요,사진이 잘 나와요
호텔갈매인디로,호텔,경기 구리시 갈매중앙로 81-8,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,인테리어가 멋져요
도봉 럭스,모텔,서울 도봉구 도봉로 739,친절해요,조용히 쉬기 좋아요,깨끗해요,침구가 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
엠모텔,모텔,서울 노원구 화랑로 413,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,방음이 잘돼요
-,-,-,-,-,-,-,-
모텔베르사유,모텔,서울 도봉구 마들로11길 35,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
호텔드씨엘,2성급,서울 중랑구 동일로 866,조용히 쉬기 좋아요,침구가 좋아요,인테리어가 멋져요,깨끗해요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
