푸른수목원,"식물원,수목원",서울 구로구 서해안로 2117,산책로가 잘 되어있어요,주차하기 편해요,뷰가 좋아요,볼거리가 많아요,사진이 잘 나와요
뉴키즈 밀가루 키즈카페,"키즈카페,실내놀이터",서울 구로구 경인로 387 7층,매장이 청결해요,부모도 쉬기 좋아요,친절해요,테마가 재미있어요,놀거리가 많아요
시아북카페 아이파크몰 고척점,"키즈카페,실내놀이터",서울 구로구 경인로43길 49 MD동 2층 A-202호,매장이 청결해요,친절해요,부모도 쉬기 좋아요,테마가 재미있어요,체험 프로그램이 많아요
-,-,-,-,-,-,-,-
랑데자뷰 NC구로점,"카페,디저트",서울 구로구 구로중앙로 152 3층 랑데자뷰,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
정글아이 구로구 키즈헬스케어센터,"키즈카페,실내놀이터",서울 구로구 경인로43길 49 고척아이파크 주상복합MD 5층,매장이 청결해요,안전하게 관리해요,가격이 합리적이에요,놀거리가 많아요,테마가 재미있어요
고은한복,한복대여,서울 구로구 경인로 624 2층일부,옷이 예뻐요,옷이 다양해요,친절해요,상담이 자세해요,시설이 깔끔해요
-,-,-,-,-,-,-,-
꽃그리는아이 구로항동센터,"키즈카페,실내놀이터",서울 구로구 연동로 197 아이온타워3 4층 404호~405호,매장이 청결해요,친절해요,테마가 재미있어요,부모도 쉬기 좋아요,놀거리가 많아요
캘리클럽 고척점,"키즈카페,실내놀이터","서울 구로구 경인로43길 49 C동 1층 (고척동, 고척아이파크)",놀거리가 많아요,테마가 재미있어요,친절해요,안전하게 관리해요,매장이 청결해요
9로평상,"카페,디저트",서울 구로구 서해안로 2134 (항동),디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요,매장이 청결해요
나라한복,한복대여,서울 구로구 경인로 610 3층일부,옷이 예뻐요,옷이 다양해요,친절해요,상담이 자세해요,시설이 깔끔해요
애플키즈클럽 현대백화점 디큐브시티점,"키즈카페,실내놀이터",서울 구로구 경인로 662 디큐브시티 4층,매장이 청결해요,친절해요,안전하게 관리해요,주차하기 편해요,가격이 합리적이에요
이키즈랜드 신구로점,"키즈카페,실내놀이터",서울 구로구 구로중앙로 152 7층 이키즈랜드 신구로점,매장이 청결해요,놀거리가 많아요,가격이 합리적이에요,친절해요,주차하기 편해요
-,-,-,-,-,-,-,-
피스코,한복대여,서울 구로구 새말로 97 7층 웨스턴베니비스웨딩홀 드레스샵,친절해요,스타일 추천을 잘해줘요,시설이 깔끔해요,옷이 예뻐요,상담이 자세해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
도우앤제빵소,베이커리,서울 구로구 도림로12길 6 제1층 102호,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
리틀베프 항동점,"키즈카페,실내놀이터",서울 구로구 연동로 197 아이온타워3 3층,매장이 청결해요,놀거리가 많아요,친절해요,가격이 합리적이에요,공간이 넓어요
빈브라더스 현대백화점 디큐브시티,카페,서울 구로구 경인로 662 현대백화점 별관 3층,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
오브베이크,베이커리,서울 구로구 디지털로32가길 9 2층 오브베이크,빵이 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
카페397 삼구칠,"카페,디저트",서울 구로구 신도림로 25 1층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
스타벅스 현대디큐브B2점,카페,서울 구로구 경인로 662 (신도림동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
투썸플레이스 구로디지털역 깔깔거리점,카페,서울 구로구 디지털로32길 97-39,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,좌석이 편해요
르디투어 아이파크몰 고척점,베이커리,서울 구로구 경인로43길 49 아이파크몰 고척점 C동 2층 201호,빵이 맛있어요,커피가 맛있어요,대화하기 좋아요,인테리어가 멋져요,음료가 맛있어요
뛰노리방방 고척점,"키즈카페,실내놀이터",서울 구로구 고척로 207 정강빌딩 2층 뛰노리방방,매장이 청결해요,가격이 합리적이에요,친절해요,부모도 쉬기 좋아요,놀거리가 많아요
밀리,"카페,디저트",서울 구로구 새말로 62 1층밀리,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
꼬마즈키즈카페,"키즈카페,실내놀이터",서울 구로구 구일로8길 56 2층 202호,매장이 청결해요,친절해요,놀거리가 많아요,가격이 합리적이에요,안전하게 관리해요
에버애프터,"카페,디저트",서울 구로구 새말로18길 36-10,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
프로맘킨더 현대백화점 디큐브시티점,"키즈카페,실내놀이터",서울 구로구 경인로 662 현대백화점 디큐브시티점 B1 프로맘킨더,친절해요,부모도 쉬기 좋아요,주차하기 편해요,매장이 청결해요,테마가 재미있어요
상상빵집,베이커리,"서울 구로구 서해안로26길 7 1, 2층",빵이 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
투썸플레이스 신도림디큐브시티점,카페,서울 구로구 경인로 662 별관 2층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요
아우어베이커리 아이파크몰고척점,베이커리,서울 구로구 경인로43길 49 아이파크몰고척점 1층 D-102호,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요
팀홀튼 구로하이엔드점,카페,서울 구로구 디지털로26길 5 1층 팀홀튼 구로하이엔드점,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요,친절해요
공들인,"카페,디저트",서울 구로구 가마산로 265 1층 110호 공들인,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
라크라센타,"카페,디저트",서울 구로구 가마산로 242 1층 (희망재단),커피가 맛있어요,대화하기 좋아요,음료가 맛있어요,인테리어가 멋져요,친절해요
구로시장,시장,서울 구로구 구로동로22길 17-4 2층,친절해요,가성비가 좋아요,품질이 좋아요,매장이 넓어요,종류가 다양해요
천왕산북카페,북카페,서울 구로구 연동로12길 150 1층(항동)천왕동 북카페,커피가 맛있어요,뷰가 좋아요,음료가 맛있어요,인테리어가 멋져요,친절해요
스타벅스 구로고척점,카페,서울 구로구 경인로 387 (고척동),커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,디저트가 맛있어요
예커피,"카페,디저트",서울 구로구 고척로21나길 63 1층 예커피,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
디저트샵시소,케이크전문,서울 구로구 천왕로 29 1층 101호,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,선물하기 좋아요,매장이 청결해요
얌얌플레이트,"카페,디저트",서울 구로구 개봉로12길 9-40,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
스타벅스 고척아이파크점,카페,"서울 구로구 경인로43길 49 (고척동, 고척아이파크), 1층 D-101호",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
투썸플레이스 동양미래대점,카페,서울 구로구 경인로47길 34-1,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
스타벅스 현대디큐브2F점,카페,서울 구로구 경인로 662 (신도림동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
이름없는가게,"카페,디저트",서울 구로구 개봉로1나길 52 1층 이름없는가게,디저트가 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요
스타벅스 구로디지털로점,카페,서울 구로구 디지털로33길 11 에이스테크노8차 1층 (구로동),커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
올드페리도넛 아이파크몰 고척점,도넛,"서울 구로구 경인로43길 49 1층 B-101호 (고척동, 고척아이파크)",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
글로우,"카페,디저트",서울 구로구 연동로 233 상가2동 1층 105호,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
카페몽글,"카페,디저트",서울 구로구 공원로6나길 29-17 1층 카페몽글,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,집중하기 좋아요
데일리스위츠,"카페,디저트",서울 구로구 중앙로 9 1층,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
폴 바셋 현대백화점 디큐브시티점,카페,서울 구로구 경인로 662 디큐브시티 5층,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요
사사커피LAB,"카페,디저트",서울 구로구 경인로 620-1 1층 사사커피랩,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
-,-,-,-,-,-,-,-
스타벅스 구로오류DT점,카페,서울 구로구 서해안로 2233 (오류동),커피가 맛있어요,친절해요,매장이 청결해요,디저트가 맛있어요,음료가 맛있어요
탑텐 아이파크몰 고척점,패션,서울 구로구 경인로43길 49 2층(고척동),가성비가 좋아요,매장이 넓어요,종류가 다양해요,품질이 좋아요,친절해요
스타벅스 구로호텔점,카페,서울 구로구 디지털로32길 72 구로호텔 1층 (구로동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
리콰이어 커피,"카페,디저트","서울 구로구 고척로19길 2 1층, 2층",커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요
아임버터,"카페,디저트",서울 구로구 경인로 158 상가동 103호,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
브루클린커피,"카페,디저트","서울 구로구 고척로 238 101동 1층 102호 고척동, 하이리빙 아파트)",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
바롤로커피 구로디지털단지 본점,"카페,디저트",서울 구로구 디지털로 300 지밸리몰 지하1층 바롤로커피,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요
커피빈 현대백화점 디큐브시티점,카페,서울 구로구 경인로 662 디큐브시티,커피가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요,디저트가 맛있어요
페이머스베이커리,베이커리,서울 구로구 경인로19길 48-8 1층,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
릴리케,"카페,디저트",서울 구로구 경서로 49 1층,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-
