난지캠핑장,"캠핑,야영장",서울 마포구 한강난지로 28,깨끗해요,바비큐 해먹기 좋아요 ,화장실이 잘 되어있어요,개수대가 잘 되어있어요,공용시설 관리가 잘돼요
ZIBRO S 게스트하우스,게스트하우스,서울 마포구 와우산로10길 14,대중교통이 편해요,조용히 쉬기 좋아요,깨끗해요,냉난방이 잘돼요,침구가 좋아요
서울큐브이화,게스트하우스,서울 마포구 대흥로30길 18-10 서울큐브이화,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요,침구가 좋아요,화장실이 잘 되어있어요
호텔 더 디자이너스 홍대,2성급,서울 마포구 양화로 86 호텔 더 디자이너스 홍대,깨끗해요,친절해요,침구가 좋아요,뷰가 좋아요,호캉스하기 좋아요
로컬스티치 크리에이터 타운 서교,호텔,서울 마포구 월드컵북로5길 41 크리에이터 타운 서교,친절해요,깨끗해요,조용히 쉬기 좋아요,인테리어가 멋져요,침구가 좋아요
머큐어 앰배서더 서울 홍대,4성급,서울 마포구 양화로 144,친절해요,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,호캉스하기 좋아요
에이치에비뉴호텔 이대점,2성급,서울 마포구 신촌로 152,깨끗해요,친절해요,조용히 쉬기 좋아요,대중교통이 편해요,조식이 맛있어요
아늑호텔 홍대점,호텔,서울 마포구 동교로 162-7 아늑호텔 홍대점,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
홍대게스트하우스 마마스앤파파스,게스트하우스,서울 마포구 어울마당로 47,친절해요,깨끗해요,침구가 좋아요,냉난방이 잘돼요,조용히 쉬기 좋아요
홍대 하디 게스트하우스,게스트하우스,서울 마포구 양화로6길 76 대동빌딩 4층,조용히 쉬기 좋아요,침구가 좋아요,깨끗해요,대중교통이 편해요,냉난방이 잘돼요
나인브릭호텔,3성급,서울 마포구 홍익로5길 32 나인브릭 호텔,깨끗해요,인테리어가 멋져요,침구가 좋아요,조용히 쉬기 좋아요,친절해요
남경호텔,모텔,서울 마포구 양화로1길 7,친절해요,조용히 쉬기 좋아요,깨끗해요,대중교통이 편해요,침구가 좋아요
주니비노호텔 홍대,3성급,서울 마포구 양화진2길 31 주니비노호텔,친절해요,인테리어가 멋져요,깨끗해요,조용히 쉬기 좋아요,사진이 잘 나와요
에스호텔,모텔,서울 마포구 서강로 128,친절해요,조용히 쉬기 좋아요,침구가 좋아요,깨끗해요,근처에 갈 곳이 많아요
메이저 모텔,모텔,서울 마포구 서강로18길 8,조용히 쉬기 좋아요,친절해요,깨끗해요,근처에 갈 곳이 많아요,주차하기 편해요
-,-,-,-,-,-,-,-
해피트리 게스트하우스,게스트하우스,서울 마포구 와우산로29다길 15 명신주택,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,대중교통이 편해요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
롬바드하우스,게스트하우스,서울 마포구 동교로16길 17,친절해요,조용히 쉬기 좋아요,깨끗해요,침구가 좋아요,냉난방이 잘돼요
코코아게스트하우스,게스트하우스,서울 마포구 와우산로17길 19-9 3층 코코아게스트하우스,친절해요,깨끗해요,대중교통이 편해요,냉난방이 잘돼요,즐길 거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
circlehotel,1성급,서울 마포구 양화로 15,친절해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,방음이 잘돼요
-,-,-,-,-,-,-,-
벙크게스트하우스,게스트하우스,서울 마포구 와우산로29라길 19-1 전층,친절해요,깨끗해요,침구가 좋아요,대중교통이 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
스티치스 게스트하우스,게스트하우스,"서울 마포구 포은로2나길 46 1, 2층",깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,대중교통이 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
보보호텔,2성급,서울 마포구 양화로 94,침구가 좋아요,조용히 쉬기 좋아요,친절해요,깨끗해요,주차하기 편해요
-,-,-,-,-,-,-,-
신촌시스터즈,게스트하우스,서울 마포구 백범로2길 24,친절해요,조용히 쉬기 좋아요,깨끗해요,화장실이 잘 되어있어요,대중교통이 편해요
-,-,-,-,-,-,-,-
다우하우스2,게스트하우스,서울 마포구 신촌로2안길 14 3층,깨끗해요,대중교통이 편해요,친절해요,조용히 쉬기 좋아요,침구가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
룩스 게스트하우스,게스트하우스,서울 마포구 와우산로 156,친절해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
니도나도,모텔,서울 마포구 홍익로 29 동교빌딩3층,친절해요,침구가 좋아요,조용히 쉬기 좋아요,깨끗해요,방음이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
디더블유스테이,게스트하우스,서울 마포구 연남로1길 8-12,깨끗해요,화장실이 잘 되어있어요,침구가 좋아요,냉난방이 잘돼요,즐길 거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
도로시모텔,모텔,서울 마포구 서강로20길 17,조용히 쉬기 좋아요,친절해요,침구가 좋아요,근처에 갈 곳이 많아요,깨끗해요
-,-,-,-,-,-,-,-
가나모텔,모텔,서울 마포구 삼개로 13,조용히 쉬기 좋아요,깨끗해요,즐길 거리가 많아요,친절해요,근처에 갈 곳이 많아요
신라스테이 마포,3성급,서울 마포구 마포대로 83,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
라뉘호텔,모텔,서울 마포구 서강로20길 20,침구가 좋아요,조용히 쉬기 좋아요,화장실이 잘 되어있어요,깨끗해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
디더블유디자인레지던스,게스트하우스,서울 마포구 동교로25길 35,침구가 좋아요,깨끗해요,친절해요,대중교통이 편해요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
호텔파르페,모텔,서울 마포구 서강로18길 14,깨끗해요,친절해요,냉난방이 잘돼요,침구가 좋아요,가성비가 좋아요
-,-,-,-,-,-,-,-
나비호스텔,호스텔,서울 마포구 양화로 177-1,친절해요,침구가 좋아요,근처에 갈 곳이 많아요,깨끗해요,대중교통이 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
투썸플레이스 마포망원점,카페,서울 마포구 월드컵로 155 1층,커피가 맛있어요,디저트가 맛있어요,매장이 청결해요,친절해요,대화하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
준지의아름다운하루 연남점,요리주점,서울 마포구 월드컵북로2길 81 2층,기본 안주가 좋아요,음식이 맛있어요,대화하기 좋아요,친절해요,가성비가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
남양여관,여관,서울 마포구 월드컵로11길 8,주차하기 편해요,조용히 쉬기 좋아요,친절해요,깨끗해요,침구가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
게스트하우스 파자마파티,게스트하우스,서울 마포구 성미산로 157-6,친절해요,깨끗해요,인테리어가 멋져요,즐길 거리가 많아요,조식이 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
