서울상상나라,박물관,서울 광진구 능동로 216 서울상상나라,유익해요,체험 프로그램이 다양해요,전시 구성이 알차요,아이와 가기 좋아요,가격이 합리적이에요
점핑몬스터 구의점,"키즈카페,실내놀이터",서울 광진구 광나루로39길 11 지하1층 B01호,놀거리가 많아요,매장이 청결해요,가격이 합리적이에요,친절해요,테마가 재미있어요
클래비키즈파크,"키즈카페,실내놀이터",서울 광진구 광나루로 441 어린이회관 1층,테마가 재미있어요,체험 프로그램이 많아요,가격이 합리적이에요,친절해요,놀거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
투또톤토,"카페,디저트",서울 광진구 능동로 125 1층 투또톤토,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
한강텐트대여 별빛텐트 뚝섬점,"오락,레저용품",서울 광진구 자양번영로2길 26 1층 별빛텐트,친절해요,가성비가 좋아요,품질이 좋아요,종류가 다양해요,시설이 깔끔해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
모츠커피,카페,서울 광진구 군자로3길 14 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
리틀비틀 자양점,"키즈카페,실내놀이터",서울 광진구 능동로4길 17 2층,가격이 합리적이에요,놀거리가 많아요,매장이 청결해요,부모도 쉬기 좋아요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
자양전통시장,시장,서울 광진구 자양동 714,친절해요,주차하기 편해요,볼거리가 많아요,가성비가 좋아요,시설이 깔끔해요
펀노리터 서울광진점,"키즈카페,실내놀이터",서울 광진구 천호대로129길 29 4층,매장이 청결해요,테마가 재미있어요,놀거리가 많아요,친절해요,안전하게 관리해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
인덱스숍,서점,서울 광진구 아차산로 200 커먼그라운드 3F(나이키 건물 3F),카페 같은 분위기에요,시설이 깔끔해요,책 읽기 쾌적해요,책 종류가 다양해요,독특한 책이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
더키즈프리미엄키즈카페,"키즈카페,실내놀이터",서울 광진구 면목로 57 경원타운 3층,매장이 청결해요,친절해요,가격이 합리적이에요,놀거리가 많아요,안전하게 관리해요
중곡제일골목시장,시장,서울 광진구 중곡동 265-5,친절해요,가성비가 좋아요,시설이 깔끔해요,품질이 좋아요,종류가 다양해요
퍼즌트,"카페,디저트",서울 광진구 능동로32길 50 1층 코너,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,아늑해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
읍천리382 건대입구역점,카페,서울 광진구 아차산로 214 1층,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
카페 아르무아,"카페,디저트",서울 광진구 동일로22길 117-27,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
이규옥한복,한복대여,서울 광진구 천호대로 516,옷이 예뻐요,친절해요,상담이 자세해요,옷이 다양해요,스타일 추천을 잘해줘요
데굴데굴키즈파티룸 구의점,"키즈카페,실내놀이터",서울 광진구 아차산로61길 14 2층,부모도 쉬기 좋아요,놀거리가 많아요,가격이 합리적이에요,매장이 청결해요,안전하게 관리해요
서울형키즈카페 시립뚝섬자벌레점,"키즈카페,실내놀이터",서울 광진구 강변북로 2202 뚝섬전망복합문화시설,가격이 합리적이에요,매장이 청결해요,놀거리가 많아요,안전하게 관리해요,친절해요
에이콥베이커리 롯데백화점 건대스타시티점,베이커리,서울 광진구 능동로 92 B1층,빵이 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
RADIANT,"카페,디저트",서울 광진구 능동로38길 41 101호 RADIANT,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요
-,-,-,-,-,-,-,-
그랜드 워커힐 서울 르 파사쥬,베이커리,서울 광진구 워커힐로 177 그랜드 워커힐 서울 1층,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,인테리어가 멋져요
보난자커피 군자점,"카페,디저트",서울 광진구 능동로 239-1 B동 1층 보난자커피,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
서울형 키즈카페 광진구 중곡 3동점,"키즈카페,실내놀이터",서울 광진구 능동로 400 별관 3층,놀거리가 많아요,가격이 합리적이에요,매장이 청결해요,공간이 넓어요,친절해요
릴리베이커리,베이커리,서울 광진구 능동로13길 21 1층 릴리베이커리(김밥천국바로옆)-지하X,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
김주연한복,한복대여,서울 광진구 능동로 256 2층,옷이 예뻐요,친절해요,옷이 다양해요,상담이 자세해요,스타일 추천을 잘해줘요
건대커피 랩,카페,서울 광진구 동일로22길 102 2층,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요
탐앤탐스 블랙그레이트점,카페,서울 광진구 아차산로 426,커피가 맛있어요,집중하기 좋아요,대화하기 좋아요,음료가 맛있어요,디저트가 맛있어요
쥬티윈드서핑클럽,"서핑,윈드서핑",서울 광진구 강변북로 2326 윈드서핑장 25호,친절해요,안전하게 관리해요,수업이 체계적이에요,뷰가 좋아요,가격이 합리적이에요
체리커피,"카페,디저트",서울 광진구 능동로 284,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
신성종합시장,시장,서울 광진구 용마산로 50,볼거리가 많아요,친절해요,먹거리가 풍부해요,컨셉이 독특해요,아이와 가기 좋아요
괴르츠,"카페,디저트",서울 광진구 아차산로78길 110 리버힐오피스텔 101호,인테리어가 멋져요,커피가 맛있어요,뷰가 좋아요,대화하기 좋아요,음료가 맛있어요
코믹갤러리 건대점,서점,서울 광진구 아차산로 208 상록빌딩,책 종류가 다양해요,신간이 빨리 들어와요,독특한 책이 많아요,원하는 책을 찾기 쉬워요,시설이 깔끔해요
-,-,-,-,-,-,-,-
도토리책방,독립서점,서울 광진구 아차산로41길 7 1층 101호,독특한 책이 많아요,아늑해요,시설이 깔끔해요,책 종류가 다양해요,책 읽기 쾌적해요
그랜드 워커힐 서울 더파빌리온,카페,서울 광진구 워커힐로 177 그랜드 워커힐 서울 1층 로비,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
모이오,"카페,디저트",서울 광진구 자양로28길 36 1층 모이오,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
해피니스디저트,"카페,디저트",서울 광진구 아차산로30길 31 Happiness Dessert 妖开心甜品,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
더이퀼리브리엄커피,카페,서울 광진구 아차산로30길 7 3층 더이퀼리브리엄커피,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,친절해요
스타벅스 구의DT점,카페,서울 광진구 광나루로 519 (구의동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
레프트커피 아차산점,"카페,디저트",서울 광진구 자양로43길 57 1층 3호,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
라운지카페,"카페,디저트",서울 광진구 긴고랑로 149-7,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,음료가 맛있어요
-,-,-,-,-,-,-,-
르빵프레,베이커리,서울 광진구 긴고랑로13길 82 1층 르빵프레,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
옥루몽 어린이대공원점,빙수,서울 광진구 능동로 183,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
푸쉬커피,"카페,디저트",서울 광진구 자양로45길 24-3 푸쉬커피,커피가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
스타벅스 군자역점,카페,서울 광진구 천호대로 548 (군자동) 중앙빌딩,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
카페 비엔베니도,"카페,디저트","서울 광진구 천호대로 674 1, 2층",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
카페 그자체 베이커리,베이커리,서울 광진구 능동로13길 65 2층,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요
